Series Name,Series Code,Time,Time Code,United Kingdom [GBR],Sweden [SWE],Austria [AUT],Belgium [BEL],Bulgaria [BGR],Croatia [HRV],Cyprus [CYP],Czech Republic [CZE],Denmark [DNK],Estonia [EST],Finland [FIN],France [FRA],Germany [DEU],Greece [GRC],Hungary [HUN],Ireland [IRL],Italy [ITA],Latvia [LVA],Lithuania [LTU],Luxembourg [LUX],Malta [MLT],Netherlands [NLD],Poland [POL],Portugal [PRT],Romania [ROU],Slovak Republic [SVK],Slovenia [SVN],Spain [ESP]
GDP per capita (current US$),NY.GDP.PCAP.CD,2002,YR2002,29603.465763617,29571.7044643283,26351.3756769542,25052.3393900855,2079.2289749196,6053.7160373911,16372.291519199,8011.89807378016,33228.6929087101,5308.34696117632,26834.0262501804,24275.2426027905,25205.164445175,14110.3133911078,6650.64400346247,32539.0193725254,22196.5073567255,4132.34920689811,4146.98792783931,52240.8981265786,11843.9390200563,28817.3232079888,5196.93292103894,12882.2889730308,2124.87361335835,6524.86187815598,11814.0999423948,17019.5354136605
GDP per capita (current US$),NY.GDP.PCAP.CD,2003,YR2003,34007.8887574143,36961.4253671424,32102.9305523558,30743.9025377208,2693.75876041107,7805.88141833108,20293.4078913924,9741.05838376821,40458.7706402839,7174.24079225034,32816.160880214,29691.1815836764,30359.9521525666,18477.578411927,8396.25302294119,41107.1564481921,27387.2257970921,5134.90569397268,5505.5356688311,64669.9397202278,13689.989987991,35245.1640746805,5693.52416018568,15772.7333950542,2774.95580649052,8696.91324191405,14880.4715401788,21495.7074076474
GDP per capita (current US$),NY.GDP.PCAP.CD,2004,YR2004,39824.7618053778,42442.2204473133,36693.4026205182,35589.6891168402,3353.56414854374,9365.74246801187,23932.4912772329,11667.6321201205,46487.5149113562,8850.46784994613,37636.1117341753,33874.7425478435,34165.9340305131,21955.1040911595,10259.5260647721,47631.0646198435,31174.5611761064,6351.08012547156,6706.96699843928,74970.9215792235,15109.0549683959,39954.6422157907,6681.17881781198,18045.5880994833,3552.92451981742,10654.7937072937,17260.9015138173,24918.6458419994
GDP per capita (current US$),NY.GDP.PCAP.CD,2005,YR2005,41524.0655354404,43085.353145957,38242.0425174699,36967.2591839688,3852.97775647268,10224.2405855179,25324.4866558737,13317.7298342014,48816.8358639645,10338.3172625946,38969.171631813,34879.7263291899,34696.62091671,22551.735744099,11161.7244084585,50886.8272927009,31959.2621538188,7558.74200622923,7863.16200865166,79494.2062680935,15835.3466687883,41577.1600883755,8021.25156915488,18784.9484992149,4676.31518325954,11669.4197478063,18169.1809082287,26510.7174533426
GDP per capita (current US$),NY.GDP.PCAP.CD,2006,YR2006,44016.7264104656,46256.4716010495,40430.993614499,38852.3729277437,4455.69022418578,11363.4184456056,27169.9925579717,15159.1411456575,52041.0029728889,12595.414840361,41120.6765061581,36544.5085344191,36447.8723183195,24801.1578065035,11398.7658351748,54326.0980104952,33410.7482014867,9667.97570008021,9240.64254797441,88680.2380283837,16671.5671992638,44453.9711946212,9040.77020561867,19821.4446268632,5828.74566230123,13139.0321768688,19726.1264959149,28482.6094833461
GDP per capita (current US$),NY.GDP.PCAP.CD,2007,YR2007,49949.1548811539,53324.3793724756,46586.6502529235,44403.7668991523,5932.89967659315,13546.6987224454,31386.6326506534,18333.9459002641,58501.1383160235,16586.4079613909,48288.5490978186,41600.5839748157,41814.8190965222,28827.3263555224,13842.6054926173,61388.1738270495,37698.7857302579,14044.0158891923,12297.9153480396,104841.443619716,19375.569601363,51241.3156170166,11260.3185156411,22780.0584505513,8214.18537810177,16057.7331439028,23841.3179190744,32709.4010383771
GDP per capita (current US$),NY.GDP.PCAP.CD,2008,YR2008,46523.2654539202,55746.8423811175,51386.3766511975,48424.5755963147,7296.12247858585,15893.8605622792,35390.7048833763,22649.3793400813,64181.9946654657,18094.5473954875,53401.3148725198,45413.065712185,45699.1983232962,31997.2820108813,15669.2592867275,61235.4006302281,40640.1846549619,16348.53120679,14961.5681759187,112851.460090742,21928.7006740562,56928.8204756806,14001.4468819804,24815.6088356622,10136.4735592475,18650.3591154107,27501.8102703687,35578.736189717
GDP per capita (current US$),NY.GDP.PCAP.CD,2009,YR2009,38010.1004506576,46207.0592032962,47654.1872090808,44880.5730196227,6955.98773253421,14157.144161951,32105.8159000782,19698.4920909142,57895.5012246202,14726.3139057181,47107.1557090705,41631.1314123702,41732.707253158,29710.9702950284,12967.1654278758,51983.7881819968,36976.8451179565,12219.3737898048,11837.3910271086,101221.810003471,20675.5825862064,51900.3400948453,11527.5932279825,23063.9716141302,8220.10832899514,16512.9819723317,24633.7978523083,32333.4661042498
GDP per capita (current US$),NY.GDP.PCAP.CD,2010,YR2010,38708.6762921633,52076.4305245885,46659.8408181344,44382.8189867028,6843.26328885315,13509.1858157682,30818.4639574235,19763.9637984737,57647.668762065,14639.473302339,46205.1660111855,40705.7662299421,41788.0447853084,26919.3616367757,13025.7947978134,48541.4776442369,35851.5080738451,11329.8951237997,11988.757967609,103267.276511115,21087.7946931036,50341.251919716,12599.5248642681,22539.9960076117,8297.48362072379,16601.6019729568,23438.8674661771,30737.8322708385
GDP per capita (current US$),NY.GDP.PCAP.CD,2011,YR2011,41243.123274868,59593.6847982389,51123.5613291663,47699.8447984423,7813.80349946173,14542.1775991872,32233.8394246573,21717.478393542,61304.0612046553,17453.7537611724,50787.5649828531,43807.4759032413,45936.0812598523,25914.6815458943,14048.8795825413,52564.2554838933,38332.3003680405,13798.2052012707,14367.2093249849,113239.56097199,22957.4118568356,53537.2751512189,13893.4117186252,23194.7409567701,9200.27782470489,18186.026208065,24983.6941994393,31832.2380807085
